open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1700361540000,0.705,0.706,0.705,0.705,75562.6,1700361599999,53275.6,70,49840.2,35141.308,0
1700361600000,0.705,0.706,0.705,0.705,76441.9,1700361659999,53958.4593,136,49471.2,34926.6672,0
1700361660000,0.705,0.706,0.704,0.705,205422.8,1700361719999,144820.4941,259,59949.6,42264.5266,0
1700361720000,0.705,0.706,0.704,0.705,42275.1,1700361779999,29803.1256,43,36631.5,25826.5962,0
1700361780000,0.705,0.706,0.705,0.706,5837.4,1700361839999,4120.2984,10,4931.4,3481.5684,0
1700361840000,0.706,0.706,0.704,0.705,74784.3,1700361899999,52721.8462,72,34665.7,24439.3859,0
1700361900000,0.706,0.706,0.704,0.704,74905.4,1700361959999,52806.4608,60,1129.3,796.3156,0
1700361960000,0.705,0.706,0.705,0.706,110798.2,1700362019999,78188.6407,164,75740.7,53443.1545,0
1700362020000,0.705,0.707,0.705,0.707,20069.1,1700362079999,14167.2304,40,17873.9,12619.5003,0
1700362080000,0.706,0.707,0.706,0.706,11620.9,1700362139999,8213.8912,232,9535.8,6741.8106,0
1700362140000,0.706,0.707,0.706,0.707,1694.3,1700362199999,1196.197,8,21.2,14.9884,0
1700362200000,0.706,0.707,0.705,0.705,80137.6,1700362259999,56577.175,139,116.1,82.0752,0
1700362260000,0.706,0.707,0.706,0.706,82350.0,1700362319999,58140.6983,109,42681.0,30134.3843,0
1700362320000,0.706,0.706,0.704,0.705,138409.2,1700362379999,97580.0295,152,102599.8,72334.4364,0
1700362380000,0.705,0.706,0.705,0.706,2128.8,1700362439999,1501.122,7,318.0,224.508,0
1700362440000,0.705,0.707,0.705,0.706,63408.1,1700362499999,44766.4498,186,48424.3,34188.2063,0
1700362500000,0.706,0.707,0.706,0.707,3314.3,1700362559999,2341.0093,51,1113.5,787.2445,0
1700362560000,0.707,0.707,0.705,0.705,28641.4,1700362619999,20218.8105,62,5461.3,3855.7631,0
1700362620000,0.706,0.707,0.705,0.705,89560.2,1700362679999,63232.2751,115,46897.4,33116.0628,0
1700362680000,0.706,0.706,0.705,0.705,9733.2,1700362739999,6868.2638,16,6357.8,4488.6068,0
1700362740000,0.706,0.706,0.705,0.705,1636.9,1700362799999,1154.896,16,881.5,622.339,0
1700362800000,0.705,0.706,0.704,0.706,157776.5,1700362859999,111236.8619,366,86869.2,61247.7254,0
1700362860000,0.706,0.706,0.705,0.706,4708.3,1700362919999,3321.1188,21,1767.3,1247.7138,0
1700362920000,0.706,0.706,0.705,0.706,1982.1,1700362979999,1397.9043,15,523.8,369.8028,0
1700362980000,0.705,0.707,0.705,0.706,79835.5,1700363039999,56362.5213,134,74586.3,52657.9494,0
1700363040000,0.706,0.707,0.705,0.705,49425.1,1700363099999,34894.9286,131,5959.8,4209.0187,0
1700363100000,0.706,0.707,0.706,0.706,30380.4,1700363159999,21448.7313,38,27138.5,19159.9499,0
1700363160000,0.706,0.706,0.705,0.705,45943.9,1700363219999,32436.2452,86,4604.0,3250.424,0
1700363220000,0.705,0.707,0.705,0.706,181644.0,1700363279999,128241.2965,123,79069.1,55823.5728,0
1700363280000,0.706,0.706,0.705,0.705,38303.3,1700363339999,27041.6528,41,3713.7,2621.8722,0
1700363340000,0.706,0.707,0.706,0.707,46802.5,1700363399999,33045.0284,50,42364.7,29911.9416,0
1700363400000,0.706,0.707,0.705,0.705,66947.1,1700363459999,47261.5771,72,4467.9,3154.873,0
1700363460000,0.705,0.706,0.705,0.706,1728.3,1700363519999,1219.377,7,925.5,653.403,0
1700363520000,0.705,0.706,0.705,0.706,211138.8,1700363579999,148961.2076,293,152175.0,107389.427,0
1700363580000,0.706,0.707,0.706,0.707,4497.0,1700363639999,3175.4329,11,550.9,389.4863,0
1700363640000,0.706,0.707,0.705,0.705,41006.5,1700363699999,28950.1179,127,7383.2,5213.444,0
1700363700000,0.705,0.707,0.705,0.706,145668.7,1700363759999,102842.8822,122,25066.9,17698.5214,0
1700363760000,0.705,0.706,0.705,0.706,2378.0,1700363819999,1676.7524,5,262.4,185.2544,0
1700363820000,0.705,0.706,0.704,0.705,161531.2,1700363879999,113842.3579,288,32789.1,23116.7441,0
1700363880000,0.705,0.705,0.704,0.704,6059.1,1700363939999,4267.2734,26,1667.0,1175.235,0
1700363940000,0.704,0.705,0.704,0.705,2446.2,1700363999999,1722.9321,17,807.3,569.1465,0
1700364000000,0.705,0.705,0.704,0.704,1375.0,1700364059999,968.7557,20,755.7,532.7685,0
1700364060000,0.704,0.705,0.704,0.704,3003.2,1700364119999,2116.7768,8,2524.0,1779.42,0
1700364120000,0.704,0.705,0.703,0.704,98959.1,1700364179999,69667.6456,126,48346.4,34037.1468,0
1700364180000,0.705,0.705,0.703,0.704,51917.8,1700364239999,36551.7241,56,33052.2,23270.4034,0
1700364240000,0.704,0.705,0.704,0.704,150445.9,1700364299999,105920.4416,91,77624.5,54654.176,0
1700364300000,0.704,0.704,0.703,0.704,11215.9,1700364359999,7888.8833,13,4105.6,2890.3424,0
1700364360000,0.703,0.704,0.703,0.704,1618.1,1700364419999,1137.6792,8,154.9,109.0496,0
1700364420000,0.703,0.704,0.703,0.704,1452.2,1700364479999,1021.4053,7,508.7,358.1248,0
1700364480000,0.703,0.704,0.702,0.702,46627.5,1700364539999,32776.6456,186,1870.5,1315.0811,0
1700364540000,0.702,0.703,0.702,0.703,6024.7,1700364599999,4230.7971,13,1457.7,1024.7631,0
1700364600000,0.702,0.703,0.702,0.702,3129.2,1700364659999,2199.3605,13,2662.1,1871.4563,0
1700364660000,0.702,0.704,0.702,0.703,199457.3,1700364719999,140262.385,181,198880.0,139856.6387,0
1700364720000,0.703,0.704,0.703,0.703,2471.1,1700364779999,1738.1448,31,961.5,676.896,0
1700364780000,0.704,0.705,0.704,0.705,33090.9,1700364839999,23296.4323,41,33036.0,23257.7827,0
1700364840000,0.704,0.704,0.703,0.704,131705.7,1700364899999,92701.4265,143,38020.2,26766.2208,0
1700364900000,0.703,0.704,0.703,0.703,3677.7,1700364959999,2586.4193,20,996.2,701.3248,0
1700364960000,0.704,0.704,0.703,0.704,31732.1,1700365019999,22338.9227,37,31206.9,21969.6576,0
1700365020000,0.705,0.705,0.704,0.705,343.3,1700365079999,241.6999,4,16.7,11.7735,0
1700365080000,0.705,0.706,0.704,0.705,59688.8,1700365139999,42080.4459,141,54263.5,38255.808,0
1700365140000,0.706,0.706,0.705,0.706,109526.8,1700365199999,77318.3663,210,63176.9,44602.8914,0
1700365200000,0.706,0.707,0.705,0.706,134287.2,1700365259999,94805.4194,124,50545.9,35685.5496,0
